,종목명,현재가
1,삼성전자,57300.0
2,위너스,25000.0
3,HLB,81600.0
4,한화오션,73800.0
5,두산에너빌리티,28400.0
9,셀트리온,176900.0
10,레인보우로보틱스,399000.0
11,SK하이닉스,202000.0
12,GST,21850.0
13,한화에어로스페이스,662000.0
17,POSCO홀딩스,281000.0
18,폴라리스오피스,6790.0
19,모티브링크,19980.0
20,유한양행,121600.0
21,삼성중공업,13600.0
25,삼성공조,15450.0
26,현대로템,88100.0
27,금양,21500.0
28,씨젠,25350.0
29,원익홀딩스,4370.0
33,필옵틱스,43700.0
34,알테오젠,386500.0
35,HMM,21200.0
36,피아이이,11120.0
37,현대차,205000.0
41,에코프로비엠,137400.0
42,유일로보틱스,67500.0
43,한화시스템,33550.0
44,에코프로,66700.0
45,포스코DX,26450.0
